title,resume,years_of_experience,skills,location,salary_expectation,rating
"Python Developer, 65 000",https://www.work.ua/resumes/10042280/,10,"Доброзичливість, Python, Git, Django, SQL, GitHub, PostgreSQL, MySQL, Docker, SQLite, Flask, Django Rest Framework, REST, Bootstrap, FastAPI, DjangoORM, SQLAlchemy, Pydantic, Alembic, Multiprocessing, Threading, Asyncio, GRPC, HTTP, TCP/IP, Socket, SOLID, Flake8, Black, Isort, Swagger, Collection, Itertools, Jenkins, Jira, Confluence, Agile, Scrum, OOP",Kyiv,грн,5
"Data analyst, Python Developer, DScience ML",https://www.work.ua/resumes/5610712/,10,"Комунікабельність, Здатність до навчання, MS Excel, SQL, NoSQL, Python, Machine learning, Єкономічний аналіз, Розрахунок собівартості, Ведення управлінського обліку, Ведення фінансового обліку, Відповідальність, Управління бюджетами, Контроль виконання бюджету, MS Power BI, Jira, Kanban, Docker, Git, Клієнт-Банк, Користувач 1С, Знання САПР, Цілеспрямованість, Організованість, TensorFlow, Keras, PyTorch, Google Sheets, Scrapy, Beautiful Soup, FastAPI, Django, RabbitMQ, PyTest",Kyiv,Dev,5
Python,https://www.work.ua/resumes/8511413/,10,"Python, Git, Django, SQL, Docker, SQLite, PostgreSQL, Flask, JavaScript, Bootstrap, FastAPI, HTML, CSS",Kyiv,developer,5
"Junior Python Developer, 35 000",https://www.work.ua/resumes/10137912/,10,"Python, HTML, Git, Django, CSS, SQL, Знання принципів ООП, GitHub, PostgreSQL, MySQL, Docker, Bootstrap, OpenAI, Aiogram, NumPy, Pandas, MongoDB, FastAPI, Django Rest Framework",Kyiv,грн,5
Junior Python,https://www.work.ua/resumes/2686412/,10,"MS Office, 1С, Iiko, Python, Знання принципів ООП, Django, SQL, GitHub, PostgreSQL, MySQL, Docker, SQLite, REST, FastAPI, Git, Docker Compose, Alembic, REST API, MongoDB",Kyiv,Developer,5
"Python-програміст, 140 000",https://www.work.ua/resumes/8162209/,10,"Git, Linux, Frameworks, API, Google, Робота в команді, Django, Docker, PostgreSQL, Python, FastAPI, Pandas, ChatGPT API",Kyiv,грн,4
"Python developer, 95 000",https://www.work.ua/resumes/10269926/,10,"Punctuality, Python, CSS, Git, HTML, Django, Knowledge of OOP principles, MySQL, GitHub, SQL, JavaScript, Bootstrap, MS Excel, Docker, C++, REST API, Telegram API, PowerShell, OpenCV, TensorFlow, PyTorch, Keras",Kyiv,грн,4
"Python engineer, 45 000",https://www.work.ua/resumes/5368504/,10,"Python, Django, HTML, CSS, Linux, SQL, PostgreSQL, Flask, Bootstrap, Selenium, SQLAlchemy, Pandas, NumPy, Користувач ПК, Програмування, Scrapy, Тестування, DjangoRestFramework/FlaskRest, Налаштування Telegram-ботів, Aiohttp, Git",Kyiv,грн,4
"Junior Front-end Developer, 30 000",https://www.work.ua/resumes/10014254/,10,"Адаптивність, HTML, CSS, JavaScript, React, Bootstrap, Node.js, JQuery, Python, Django, Git, GitHub, Redux, TypeScript, Webpack, SQL, Adobe Photoshop, Figma",Kyiv,грн,4
,https://www.work.ua/resumes/10107124/,10,"Доброзичливість, Python, HTML, Git, Django, CSS, SQL, Знання принципів ООП, GitHub, PostgreSQL, MySQL, Docker, Django Rest Framework, Flask, REST, MS Excel, Bootstrap, OpenCV",Kyiv,Python-програміст,4
